20-20 CLASSIC BUTTER,BISCUITS,PARLE,GST 18%,3.78,4.37,5,60,55.2,BUNDLE,12,R.K MARKETING,19059020,0
20-20 CLASSIC CASHEW,BISCUITS,PARLE,GST 18%,3.78,4.37,5,60,55.2,BUNDLE,12,R.K MARKETING,19059020,0
3ROSES 10/-,BEVERAGES,HINDUSTAN,GST 5%,8.35,8.77,10,240,220,SHEETS,24,SRI BALAJI TRADING COMPANY,9023020,0
3ROSES 100G,BEVERAGES,HINDUSTAN,GST 5%,62.31,65.43,70,70,68,NOS,120,SRI BALAJI TRADING COMPANY,9023020,0
3ROSES 250G,BEVERAGES,HINDUSTAN,GST 5%,160.21,168.22,175,170,165,NOS,48,SRI BALAJI TRADING COMPANY,9023020,0
3ROSES DUST 2X500G RELUNCH,BEVERAGES,HINDUSTAN,GST 5%,247.1,259.46,295,500,490,NOS,2,SRI BALAJI TRADING COMPANY,9023020,0
3ROSES DUST 4X500G RELUNCH,BEVERAGES,HINDUSTAN,GST 5%,210,220.5,880,920,880,NOS,4,SRI BALAJI TRADING COMPANY,9023020,0
3ROSES DUST 5/-,BEVERAGES,HINDUSTAN,GST 5%,4.14,4.35,5,120,110,BUNDAL,24,SRI BALAJI TRADING COMPANY,9023010,0
3ROSES DUST 500G RELAUNCH,BEVERAGES,HINDUSTAN,GST 5%,302.63,317.76,340,330,320,NOS,1,SRI BALAJI TRADING COMPANY,9023020,0
3ROSES NATURAL CARE 10/-,BEVERAGES,HINDUSTAN,GST 5%,8.35,8.77,10,240,216,SHEETS,24,SRI BALAJI TRADING COMPANY,9023010,0
3ROSES NATURAL CARE 100G,BEVERAGES,HINDUSTAN,GST 5%,69.26,72.72,80,80,75,NOS,1,SRI BALAJI TRADING COMPANY,9023020,0
3ROSES NATURAL CARE 250G,BEVERAGES,HINDUSTAN,GST 5%,173.56,182.24,195,190,184,NOS,1,SRI BALAJI TRADING COMPANY,9023020,0
50-50 10/-,BISCUITS,BRITANNIA,GST 18%,7.7,8.72,10,800,795,PKT,45,SIVA TRADERS,19053100,0
50-50 5/-,BISCUITS,BRITANNIA,GST 18%,3.85,4.36,5,690,635,PKT,144,SIVA TRADERS,19053100,0
50-50 MASKA CHASKA 10/-,BISCUITS,BRITANNIA,GST 18%,7.7,8.72,10,800,750,PKT,80,SIVA TRADERS,19053100,0
555 RAW RICE 25KG,RAW RICE,GENERAL,GST 0%,1000,1000,0,1150,1100,BAG,1,,,0
A&M NOODLES TASTY 70GM,NOODLES,GENERAL,GST 12%,18,20.16,28,28,25,PKT,3,MANI BAJI SHOP,1902,0
AACHI CHICKEN MSL 50GM,MASALA,AACHI,GST 5%,14.2855,15.09,28,360,320,BUNDAL,1,GREEN SAKTHE,9109100,0
AACHI EEG MSL 10/-,MASALA,AACHI,GST 0%,7,7,10,100,80,SHEETS,5,SATHANAM AGENCIES,,0
AACHI GARAM MSL 10/-,MASALA,AACHI,GST 0%,7,7,10,100,80,SHEETS,5,SATHANAM AGENCIES,,0
AACHI GINGER GARLIC PASTE 5/-,PASTE,AACHI,GST 0%,3.5,3.5,5,50,40,SHEETS,2,SATHANAM AGENCIES,,0
AACHI IDLY PWD 10/-,MASALA,AACHI,GST 0%,7,7,10,100,80,SHEETS,5,SATHANAM AGENCIES,,0
AACHI JEERA PWD 10/-,MASALA,AACHI,GST 0%,7,7,10,100,80,SHEETS,1,SATHANAM AGENCIES,,0
AACHI KULAMBU CHILLI 500GM,MASALA,AACHI,GST 5%,119.05,122.5,195,140,135,NOS,1,GREEN SAKTHE,9109100,0
AACHI MUTTON MSL 50GM,MASALA,AACHI,GST 5%,15.9525,16.84,29,350,340,BUNDAL,1,GREEN SAKTHE,9109100,0
AACHI PEPPER PWD 10/-,MASALA,AACHI,GST 0%,7,7,10,100,80,SHEETS,6,SATHANAM AGENCIES,,0
AACHI SAMBAR PWD 10/-,MASALA,AACHI,GST 0%,7,7,10,100,80,SHEETS,6,SATHANAM AGENCIES,,0
AACHI TOMATO RICE 10/-,MIXED RICE,AACHI,GST 0%,7,7,10,100,80,SHEETS,5,SATHANAM AGENCIES,,0
AASHIRVAAD ATTA 10KG,FLOUR,GENERAL,GST 5%,414.54,390.43,490,1290,1230,PKT,3,SHREE SHANER AGANICES,1101,0
AASHIRVAAD ATTA 1KG,FLOUR,GENERAL,GST 5%,47.24,49.01,57,1650,1560,PKT,30,SHREE SHANER AGANICES,1101,0
AASHIRVAAD ATTA 500GM,FLOUR,GENERAL,GST 5%,1417.2,1476.16,1860,1680,1560,PKT,60,SHREE SHANER AGANICES,1101,0
AASHIRVAAD ATTA 5KG,FLOUR,GENERAL,GST 5%,234.05,229.16,270,1530,1500,PKT,6,SHREE SHANER AGANICES,1101,0
AASHIRVAAD GHEE 200ML,GHEE,TATA,GST 12%,136.24,146.49,170,150,155,NOS,1,SHREE SHANER AGANICES,405,0
AISHWARYA 25KG,HALF BOILED,GENERAL,GST 0%,46,46,2900,1250,120,KGS,25,MANI BAJI SHOP,1006,0
AJINOMOTO 500G,SPICES,GENERAL,GST 18%,101.7,120.01,150,140,130,PKT,40,VENKATESHWARA AGENCIES,29224220,0
AJITH 25KG,RAW RICE,GENERAL,GST 0%,44,44,2600,1300,1250,KGS,25,HIRA TADERS,1006,0
