,,,,,
,,,,,
,,,,,
Product,retail,wholesale,MRP,,
,,,,,
,,,,,
Black Jeera 10 Nos,10,8,0,,
Cardamom 10 Nos,10,8,0,,
Cashew 10 Nos,10,8,0,,
Clove 10 Nos,10,8,0,,
Dry Grapes 10 Nos,10,8,0,,
Grapes & Cashew 10 Nos,10,8,0,,
Leaf Sheet 10 Nos,10,8,10,,
Menthyalu 10 Nos,10,8,0,,
Mustard 10 Nos,10,8,0,,
Mustard Big 10 Nos,10,8,0,,
Omum 10 Nos,10,8,0,,
Patta 10 Nos,10,8,0,,
Poppy Seeds 10 Nos,10,8,0,,
Soda 10 Nos,10,8,0,,
,,,,,
,,,,,
Cardamom 12 Nos,5,4,0,,
Cashew 12 Nos,5,4,0,,
Clove 12 Nos,5,4,0,,
Jeera 12 Nos,5,4,0,,
Omom 12 Nos,5,4,0,,
Patta 12 Nos,5,4,0,,
Pepper 12 Nos,5,4,0,,
Soda 12 Nos,5,4,0,,
Sompoo 12 Nos,5,4,0,,
Tasting Salt 12 Nos,5,4,0,,
,,,,,
,,,,,
Vermicelli Anil 180 Gms,15,12,17,,
Vermicelli Anil Ragi 180 Gms,19,17,21,,
Vermicelli Anil Ric 500 Gms,60,55,61,,
,,,,,
,,,,,
3 Roses 9 Gms,5,4.75,5,,
3 Roses 17 Gms,10,9.5,10,,
3Roses 500 Gms,330,325,340,,
3Roses 250 Gms,170,167,175,,
3Roses Hotel Pack 500 Gms,260,250,277,,
AVT Premium 1 Kg,230,220,240,,
Boost 18 Gms,5,4.8,5,,
Boost Jar 500 Gms,240,235,247,,
Boost Refil 500 Gms,225,210,234,,
Bru 11 Gms,5,9.5,10,,
Bru 2 Gms,10,1.85,2,,
Bru 3 Gms,2,2.85,3,,
Bru 6 Gms,3,4.75,5,,
Bru Green Label 100 Gms,24,23,25,,
Bru Green Label 200 Gms,58,56,60,,
Bru Tripsh 200 Gms,150,140,0,,
Coffee,720,710,0,,
Cothas Coffee 500 Gms,250,225,0,,
Green Label 500 Gms,150,145,155,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Product,Rate,Rate,MRP,,
,,,,,
Horlicks,5,325,0,,
Horlicks 15 Gms,350,4.8,5,,
Horlicks Pack 200 Gms,90,87,90,,
Horlicks Pet Jar 200 Gms,111,107,111,,
Milk Pwd EveryDay 20 Gms,10,9.5,10,,
Milk Pwd EveryDay 200 Gms,104,0,104,,
Red Label 100 Gms,35,33,35,,
Sunrise 2 Gms,10,1.9,2,,
Sunrise 11 Gms,5,9.5,10,,
Sunrise 5 Gms,75,4.75,5,,
Sunrise 50 Gms,2,0,75,,
Taj 100 Gms,155,60,62,,
Taj 250 Gms,62,150,155,,
Tea,440,420,0,,
,,,,,
,,,,,
Aishwarya 25 Kg,950,900,0,,
BL Atta 500 Gms,18,15.25,0,,
BL Avalakki 500 Gms,1600,20.25,0,,
BL Avalakki,25,33,0,,
BL Avalakki 40 Kg,40,1320,0,,
BL Avalakki 30 Kg,1700,1200,0,,
BL Bansi Sooji 500 Gms,38,30,38,,
BL Bansi Sooji 1 Kg,42,39,0,,
BL Chakki Atta 500 Gms,45,19,0,,
