20-20 CLASSIC BUTTER,BISCUITS,GST 18%,GST 18%,3.78,4.37,5,60,55.2,BUNDLE,19059020
20-20 CLASSIC CASHEW,BISCUITS,GST 18%,GST 18%,3.78,4.37,5,60,55.2,BUNDLE,19059020
3ROSES 100G,BEVERAGES,GST 5%,GST 5%,62.31,65.43,70,70,68,NOS,09023020
3ROSES 250G,BEVERAGES,GST 5%,GST 5%,155.76,163.55,175,170,165,NOS,09023020
3ROSES DUST 2X500G RELUNCH,BEVERAGES,GST 5%,GST 5%,228.03,239.43,277.5,250,245,NOS,09023020
3ROSES DUST 500G RELAUNCH,BEVERAGES,GST 5%,GST 5%,302.63,317.76,340,330,320,NOS,09023020
3ROSES DUST 7G,BEVERAGES,GST 5%,GST 5%,4.14,4.35,5,120,110,BUNDAL,09023010
3ROSES NATURAL CARE 100G,BEVERAGES,GST 5%,GST 5%,69.26,72.72,80,80,75,NOS,09023020
3ROSES NATURAL CARE 14G,BEVERAGES,GST 5%,GST 5%,8.35,8.77,10,240,216,SHEETS,09023010
3ROSES NATURAL CARE 250G,BEVERAGES,GST 5%,GST 5%,173.56,182.24,195,190,184,NOS,09023020
3ROSES RS10/-  14G,BEVERAGES,GST 5%,GST 5%,8.35,8.77,10,240,220,SHEETS,09023020
AASHIRVAAD ATTA 10KG,FLOUR,GST 5%,GST 5%,414.54,389.13,490,1290,1230,PKT,1101
AASHIRVAAD ATTA 1KG,FLOUR,GST 5%,GST 5%,47.24,49.21,1710,1650,1560,PKT,1101
AASHIRVAAD ATTA 500GM,FLOUR,GST 5%,GST 5%,1417.2,1476.16,1860,1680,1560,PKT,1101
AASHIRVAAD ATTA 5KG,FLOUR,GST 5%,GST 5%,234.05,229.41,270,1530,1500,PKT,1101
AISHWARYA 25KG,HALF BOILED,GST 0%,GST 0%,46,46,2900,1250,120,KGS,1006
AJINOMOTO 500G,SPICES,GST 18%,GST 18%,101.7,120.01,150,140,130,PKT,29224220
AJITH 25KG,RAW RICE,GST 0%,GST 0%,48,48,2600,1300,1250,KGS,1006
AKR JEERA RICE 25KG,JEERA RICE,GST 0%,GST 0%,2192.33,2192.33,3500,2500,2250,BAG,1006
ANNACHI POO,SPICES,GST 18%,GST 18%,850,1003,0,1200,1150,KGS,1207
ASAFOETIDA,SPICES,GST 0%,GST 0%,140,140,200,180,160,BOX,1304
AVALAKKI 30KG,DALL,GST 0%,GST 0%,40,40,3100,1250,1200,KGS,1006
BADAM,DRY FRUITS,GST 28%,GST 28%,650,832,0,1000,900,KGS,0802
BADAM DRINK 450GMS,BEVERAGES,GST 18%,GST 18%,179.77,212.13,245,230,220,PKT,21069099
BADAM DRINK MIX 10GMS,BEVERAGES,GST 18%,GST 18%,3.67,4.33,5,50,46,SHEETS,21609099
BADAM MIX DRINK 200GMS,BEVERAGES,GST 18%,GST 18%,88.9,104.9,120,3450,3300,BOX,21069099
BALLAR 50KG,DALL,GST 0%,GST 0%,2500,2500,4000,3000,2750,BAG,0713
BALLAR DALL 25KG,DALL,GST 0%,GST 0%,65,65,1900,1950,1750,KGS,0713
BASMATHI 25KG,RAW RICE,GST 0%,GST 0%,76,76,2750,2100,2050,KGS,1006
BASMATHI GOLD 25KG,BASMATHI,GST 0%,GST 0%,1454.91,1454.91,3500,2000,1900,BAG,1006
